question,ground_truth
Who is required to follow the Global Code of Conduct?,"Employees at all levels and locations, officers, directors, contractors, contingent workers, service providers, consultants, suppliers, agents, distributors, business partners, and licensees are required to follow the Code."
What supplier code of conduct has the company formally adopted?,The company has formally adopted the Responsible Business Alliance (RBA) Code of Conduct as its own supplier code.
What is required to waive a provision of the Code for an executive officer?,Waiving a provision for an executive officer requires approval from the Board of Directors and may require an SEC public filing.
How can an employee report a concern anonymously?,Employees can report anonymously 24 hours a day via the AMD Aware helpline online or by telephone.
Does an employee need to inform their manager before speaking with an internal investigator?,"No, employees do not need to inform their manager before speaking with or cooperating with an investigator or auditor engaged by the company."
How does the company handle self-reporting of misconduct?,The company considers self-reporting of one's own misconduct as a mitigating factor when deciding disciplinary outcomes.
What should a manager do if an employee requests confidentiality when reporting a concern?,"The manager should respect the request, but explain that the information may need to be shared with Ethics & Compliance to ensure a proper review, and then promptly report the concern."
What is the policy regarding drug and alcohol abuse in the workplace?,"The company has a zero-tolerance policy regarding drug and alcohol abuse on company property, at company-related events, and when conducting business."
What protected characteristics are explicitly shielded from discrimination?,"Protected characteristics include race, color, religion, veteran status, national origin, ancestry, pregnancy status, sex, gender identity or expression, age, marital status, mental or physical disability, medical condition, and sexual orientation."
Can employees be punished for discussing their compensation?,"No, the company does not discriminate or retaliate against employees for discussing or inquiring about compensation as allowed by law."
What should you do if an unauthorized person attempts to tailgate you into a building?,Do not permit others to tailgate behind you and contact Physical Security or a manager if someone tries to access the building without authorization.
Are employees permitted to joke about workplace violence?,"No, it is inappropriate to even joke about workplace violence."
Where can employees find procedures regarding workplace health and safety?,"Safety policies, procedures, and work practices are outlined in the Global EHS Employee Handbook."
Is it acceptable to use company computers to access sexually explicit materials?,"No, employees must not use company resources for adult entertainment that is sexual in nature or computers for offensive or sexually explicit materials."
What is the protocol if a colleague asks for your login credentials to meet a project deadline?,"Never share passwords or Multi-Factor Authentication (MFA) codes by email, chat, or verbally, and report any credential-sharing requests to the security team."
How should suspected IT data security incidents be reported?,IT or data security incidents should be reported immediately by emailing infosec.incidents@amd.com.
What must an employee do before using open source software for product development?,"Employees must ensure their plan complies with the Open Source Policy before using, modifying, linking-to, or distributing any open source software."
What action is required if you inadvertently receive a competitor's confidential information?,"Do not use or share the information, and contact the Law Department for further guidance."
Do employees have a right to privacy when using company-provided computers or networks?,"No, unless protected by applicable law, employees should not expect privacy when using company-provided facilities, networks, computers, or devices."
How should a supplier's confidential information be treated?,It must be treated with the same care used to protect company confidential information and must never be shared with a competing supplier.
What are some examples of business records that must be kept accurate?,"Expense reports, timesheets, correspondence, invoices, financial reports, accounting statements, and electronic communications."
Can a vendor invoice for January be recorded as a December expense to meet budget targets?,"No, expenses must always be recorded in the correct period to avoid misrepresenting the company's financial position."
What happens if the company must restate financials due to material noncompliance?,Remedies may include the recovery of incentive-based compensation and equity awards paid to those responsible.
When is it appropriate to dispose of business records?,"Records should be disposed of securely when they are no longer needed for business, financial, or legal reasons, provided they are not relevant to an investigation or litigation hold."
Who should you contact to verify if an export license is required?,"Contact Global Trade to confirm necessary export licenses, customs requirements, or other authorizations."
"What defines a ""facilitation payment""?","Small payments of cash or something of value made to individual government officials to secure or speed up routine, non-discretionary governmental actions."
Are facilitation payments permissible under the company's anti-corruption policy?,"No, facilitation payments are illegal in many countries and are prohibited by the company."
Can an employee accept a gift from a supplier during a contract bidding process?,"No, employees must never accept a gift or entertainment during any stage of a procurement process."
"What distinguishes ""entertainment"" from a ""gift"" in the corporate policy?","A courtesy where the host does not attend is considered a gift, while entertainment involves an event or travel where the host is present."
Are employees allowed to consult for expert networks on semiconductor trends?,"No, consulting for expert networks or their clients is prohibited due to the risk of revealing inside information."
"What is the definition of ""insider trading""?","Trading company, business partner, competitor, or third-party securities while in possession of material nonpublic information."
"What is the practice of ""tipping""?","Disclosing material nonpublic information to another person, such as family or friends, who may use it to trade securities."
What must an employee do if solicited by an expert network for a consultation?,The employee must decline or ignore the invitation and promptly disclose the solicitation via the Compliance Disclosures Portal.
Is it permissible to discuss product pricing with competitors?,"No, employees must not communicate with competitors about competitively sensitive topics such as prices, output levels, bids, market allocations, or boycotts."
Are there restrictions on discussing employee hiring or compensation with other companies?,"Yes, employees must not communicate with other companies about limiting employee recruitment, hiring, or setting compensation and benefits."
"What constitutes an ""export"" aside from physical shipping?","Exports also include transfers of software, data, technological knowhow via email or shared repositories, hand-carrying samples, and providing technical assistance across borders."
What should you do if a new customer refuses to disclose the end user for a product order?,"Contact the Global Trade Compliance team before proceeding, as vague end-user details are a red flag for potential export control violations."
How should you respond to a request to participate in a trade boycott?,Contact Global Trade or the Law Department immediately if requested to support or participate in a boycott.
Who is authorized to respond to inquiries from financial analysts or shareholders?,The Investor Relations Department.
"To whom should inquiries from print media, vloggers, or podcasters be forwarded?",The Global Communications Department.
Can an employee endorse a product using the company name?,"Endorsements require prior approval from the vice president of the business organization, Public Relations, and the Law Department."
What program applies when an employee publishes a paper identifying themselves as a company employee?,The Worldwide Authors Program must be followed to ensure intellectual property and confidential information are protected.
Can company funds be used to support political candidates?,"No, employees must not commit company funds, assets, or facilities to provide support for political activities."
Who must pre-approve the use of company funds for charitable activities?,Pre-approval must be obtained from Community Affairs in accordance with the Worldwide Charitable Contributions Policy.
What is the purpose of the Go Green Employee Resource Group (ERG)?,"To connect employees and the environment to educate and inspire global conservation of resources, save money, and improve quality of life."
What is required before using AI tools for work purposes?,Employees must only use approved tools subject to the Requirements for Approved Private AI Tools and must receive approval under the AI Use Case Assessment process.
Are employees required to verify the output generated by AI tools?,"Yes, employees must always review the output of AI tools to ensure it is accurate."
What email address should be used to contact the company's Data Protection Officer?,privacy@amd.com.
What action is required if you feel your personal safety is threatened unless you pay a government official?,"Take the actions necessary to protect yourself, and once the threat has passed, notify your manager, Ethics & Compliance, and accurately record the payment in an expense report."
Who is responsible for reporting a colleague who is misusing company resources?,"Every employee has an obligation to speak up and report the incident promptly using reporting channels such as their manager, Human Resources, or Ethics & Compliance."
