user_input,retrieved_contexts,response,reference,context_recall,faithfulness
Who is required to follow the Global Code of Conduct?,"['filing. All other waivers require written approval of the General Counsel.\nIs the Code all I have to know and comply with?\nNo. The Company also has global, local and department policies and procedures. You are \nrequired to comply with all Company policies and procedures that apply to your work. \nYou must also know and comply with all government laws and regulations related to \nyour work.\nWhen in doubt, refer to Company policies and procedures or consult your manager\nor another Company resource.\nThe Global Code of Conduct replaces and continues the principles set forth in the', 'proper review. Promptly report the concern to Ethics & Compliance and \nfollow up to ensure the issue is being addressed. \nRIGHT WAY, EVERY DAY.\nContent Navigation\nOur Global Code of Conduct\nIntroduction to our Code\nManager responsibilities\nSpeaking up: questions and concerns\nOur responsibilities\nMaking good decisions\nCooperating with internal investigations\nand audits\nSafeguarding Our Workplace\nSafeguarding Our Image\nProtecting Intellectual Property\nand Personal Information\nConducting Our Business\nEthically\nHelpful Resources\nAdvancing Corporate\nResponsibility\nAMD Global Code of Conduct', 'difficult situations that could impact our Company and you. Our Code provides a\nunifying set of standards to help all of us make the right decisions.\n \nWho must follow the Code?\n \nEmployees at all levels and all locations, as well as officers and directors, are\nresponsible for following our Code. Each of us is responsible for knowing this Code\nand the Company policies and laws that apply to our work.\nWe also require our contractors and other contingent workers, service providers,\nconsultants and other suppliers, agents, distributors, business partners and licensees']","**Who must follow the Global Code of Conduct?**

* Employees at all levels and all locations
* Officers and directors
* Contractors and other contingent workers
* Service providers
* Consultants
* Suppliers
* Agents
* Distributors
* Business partners
* Licensees","Employees at all levels and locations, officers, directors, contractors, contingent workers, service providers, consultants, suppliers, agents, distributors, business partners, and licensees are required to follow the Code.",0.5,
What supplier code of conduct has the company formally adopted?,"['consultants and other suppliers, agents, distributors, business partners and licensees \nto follow the principles in our Code. Moreover, AMD has formally adopted the\nResponsible Business Alliance (“RBA”) Code of Conduct as our own supplier code,\nproviding additional clarity on our expectations of our suppliers with regard to labor, \nhealth and safety, environment, ethics and management systems. For more\ninformation see our Supplier Code of Conduct.\nFailure to follow the Code may have disciplinary consequences up to and including\nfinancial penalties and termination of employment or contract.', 'to our high ethical standards. If you believe a business partner does not meet our\nethical standards or provides low quality products or services, let your manager know.\nConducting Our Business Ethically  |  19\nSupplier Code of Conduct\nContent Navigation\nSafeguarding Our Workplace\nInteracting with government customers \nand officials\nComplying with international trade\nregulations\nGiving and receiving gifts, meals,\nentertainment and travel\nTreating third parties fairly\nAvoiding corrupt activities\nAvoiding conflicts of interest\nCompeting fairly\nDisclosing conflicts of interest', 'Safeguarding Our Image\n \nWhat we communicate about our company can have an impact on our reputation, customers and brand. \nWe protect our reputation and trustworthiness by adhering to AMD brand standards and making sure \nthe information we communicate is accurate, consistent and reliable. For this reason, only certain people \nare authorized to speak on behalf of the Company.']","**Supplier Code of Conduct:**

* The Responsible Business Alliance (“RBA”) Code of Conduct
* Adopted by AMD as its own supplier code, providing additional clarity on expectations for suppliers regarding:
	+ Labor
	+ Health and safety
	+ Environment
	+ Ethics
	+ Management systems",The company has formally adopted the Responsible Business Alliance (RBA) Code of Conduct as its own supplier code.,1.0,
What is required to waive a provision of the Code for an executive officer?,"['financial penalties and termination of employment or contract.\nHow do I request a waiver? \nWaivers or exceptions are rarely if ever granted. If you want to request an exception to \na provision of this Code, contact Ethics & Compliance. They will assess your request and \nassist you in obtaining the necessary permissions. If you are a member of the\nCompany’s Board of Directors or an executive officer of the Company, waiving a\nprovision of this Code requires Board of Director approval and may require an SEC public \nfiling. All other waivers require written approval of the General Counsel.', 'accounting restatement due to material noncompliance with any financial reporting \nlaws applicable to the Company, remedies for the noncompliance may include recovery \nof any incentive-based or other compensation (including any equity awards) paid or \ngranted to those responsible and all other remedies available by law.\nManaging business records.\nOur business is subject to records retention requirements for specific periods of time \nto support our tax, financial and legal obligations. Keep records only as long as required', 'filing. All other waivers require written approval of the General Counsel.\nIs the Code all I have to know and comply with?\nNo. The Company also has global, local and department policies and procedures. You are \nrequired to comply with all Company policies and procedures that apply to your work. \nYou must also know and comply with all government laws and regulations related to \nyour work.\nWhen in doubt, refer to Company policies and procedures or consult your manager\nor another Company resource.\nThe Global Code of Conduct replaces and continues the principles set forth in the']","**Required Waiver Process for Executive Officer**

* **Board of Director Approval**: Waiving a provision of the Code requires approval from the Company's Board of Directors.
* **SEC Public Filing**: The waiver may require an SEC public filing.

Note: These requirements apply specifically to executive officers.",Waiving a provision for an executive officer requires approval from the Board of Directors and may require an SEC public filing.,,
How can an employee report a concern anonymously?,"['believe a colleague may be misusing company resources. They are\nnervous about speaking up and ask you not to mention their name.\nA\nAs a manager, your first responsibility is to listen carefully and thank \nthe employee for speaking up. Reassure them that retaliation is strictly \nprohibited and that their concern will be handled appropriately. While \nyou should respect their request for confidentiality, explain that you may \nneed to share their information with Ethics & Compliance to ensure a \nproper review. Promptly report the concern to Ethics & Compliance and', '• \nTake action. Recognize those who exhibit outstanding ethical behavior. Watch for\nmisconduct. Contact Ethics & Compliance promptly to report employee concerns or\nif you need additional guidance.\n• \nPrevent retaliation. Never retaliate or allow others to retaliate against any\nemployee who reports a concern or violation of the law, our Code or our policies; or\nwho participates in an investigation or audit.\nOur Global Code of Conduct  |  4\nQ\nAn employee on your team approaches you privately and says they\nbelieve a colleague may be misusing company resources. They are', 'one of the Company’s reporting channels.\n \nWhere can I raise my questions or concerns?\n \nIn many cases your manager can respond to your question or concern. You can also\ncontact any of these Company resources to assist you in a difficult situation: \n• \nAnother manager you trust.\n• \nHuman Resources (including AskHR).\n• \nEthics & Compliance at [REDACTED_EMAIL].\n• \nThe AMD Law Department.\n• \nThe AMD Aware helpline, which is available 24 hours a day and allows anonymous\nreporting via http://amdaware.amd.com or telephone and has operators who\nspeak all of our languages.']","**Reporting Concerns Anonymously**

To report a concern anonymously, an employee can use the AMD Aware helpline, which is available 24 hours a day. The helpline allows for anonymous reporting via:

*   **http://amdaware.amd.com**
*   **Telephone**: (available in all languages)

This helpline provides a secure and confidential way for employees to report concerns without fear of retaliation or retribution.",Employees can report anonymously 24 hours a day via the AMD Aware helpline online or by telephone.,,
Does an employee need to inform their manager before speaking with an internal investigator?,"['in an audit or investigation. Failure to cooperate can result in discipline up to and\nincluding financial penalties or termination of employment or contract.\nDo I need to tell my manager before speaking with an investigator or\nauditor? \nNo. You should not inform your manager, or anyone else, if you are asked to meet with \nor cooperate with an investigator or auditor that has been engaged by the Company. \nYour discussions with the investigator or auditor are confidential. \nWhat if the investigator or auditor is from the government?', 'believe a colleague may be misusing company resources. They are\nnervous about speaking up and ask you not to mention their name.\nA\nAs a manager, your first responsibility is to listen carefully and thank \nthe employee for speaking up. Reassure them that retaliation is strictly \nprohibited and that their concern will be handled appropriately. While \nyou should respect their request for confidentiality, explain that you may \nneed to share their information with Ethics & Compliance to ensure a \nproper review. Promptly report the concern to Ethics & Compliance and', 'COOPERATING WITH INTERNAL INVESTIGATIONS AND AUDITS\nWhat if I am approached by an investigator or auditor? \nComply fully with the requests of any internal or external auditors, attorneys or\ninvestigators who have been engaged by the Company. Provide these individuals with \ntimely, complete and accurate information. Do not mislead or attempt to improperly \ninfluence any investigation, audit or inquiry.\nRemember: Our Company will not tolerate retaliation against anyone for participating \nin an audit or investigation. Failure to cooperate can result in discipline up to and']","**No**, you do **not** need to inform your manager before speaking with an internal investigator.

*   You should not inform your manager, or anyone else, if you are asked to meet with or cooperate with an internal investigator.
*   Your discussions with the internal investigator are confidential.","No, employees do not need to inform their manager before speaking with or cooperating with an investigator or auditor engaged by the company.",1.0,
How does the company handle self-reporting of misconduct?,"['an actual or suspected violation or for participating in an investigation. We are\ncommitted to a culture of non-retaliation. Everyone should feel comfortable speaking \nup about concerns. \n \nYou can speak up about suspected violations of this Code, Company policy or the law \nwithout fear of negative impact on your employment or other retaliation. The Company \nwill discipline people who retaliate against someone for making a report or\nparticipating in an investigation. AMD also considers self-reporting of one’s own\nmisconduct as a mitigating factor when deciding disciplinary outcomes.', 'financial penalties and termination of employment or contract.\nHow do I request a waiver? \nWaivers or exceptions are rarely if ever granted. If you want to request an exception to \na provision of this Code, contact Ethics & Compliance. They will assess your request and \nassist you in obtaining the necessary permissions. If you are a member of the\nCompany’s Board of Directors or an executive officer of the Company, waiving a\nprovision of this Code requires Board of Director approval and may require an SEC public \nfiling. All other waivers require written approval of the General Counsel.', '• \nTake action. Recognize those who exhibit outstanding ethical behavior. Watch for\nmisconduct. Contact Ethics & Compliance promptly to report employee concerns or\nif you need additional guidance.\n• \nPrevent retaliation. Never retaliate or allow others to retaliate against any\nemployee who reports a concern or violation of the law, our Code or our policies; or\nwho participates in an investigation or audit.\nOur Global Code of Conduct  |  4\nQ\nAn employee on your team approaches you privately and says they\nbelieve a colleague may be misusing company resources. They are']","**Company Policy Response to Self-Reporting of Misconduct**

*   **Acknowledgement**: The Company acknowledges self-reporting of misconduct as a mitigating factor when deciding disciplinary outcomes.
*   **Procedure**: Employees who wish to self-report their misconduct should contact Ethics & Compliance promptly.
*   **Consequences**: Waivers or exceptions are rarely granted, and the consequences for self-reported misconduct may include financial penalties and termination of employment or contract.

**Key Points:**

•   Self-reporting of misconduct is considered a mitigating factor in disciplinary outcomes.
•   Employees who wish to self-report their misconduct should contact Ethics & Compliance promptly.
•   Waivers or exceptions are rarely granted, and the consequences for self-reported misconduct may include financial penalties and termination of employment or contract.",The company considers self-reporting of one's own misconduct as a mitigating factor when deciding disciplinary outcomes.,,
What should a manager do if an employee requests confidentiality when reporting a concern?,"['speak all of our languages.\nSelect the Company resource you are most comfortable with. You don’t need to\nadvise your manager in advance.\nWhat happens after I raise my concern?\nOur Company takes all ethics and compliance concerns seriously. We treat each concern \nas confidential, to the extent possible. We make every effort to investigate all concerns \npromptly, completely and consistently. If our investigation reveals misconduct, we work \nto correct the situation and prevent it from happening again. Anyone who violates the', 'believe a colleague may be misusing company resources. They are\nnervous about speaking up and ask you not to mention their name.\nA\nAs a manager, your first responsibility is to listen carefully and thank \nthe employee for speaking up. Reassure them that retaliation is strictly \nprohibited and that their concern will be handled appropriately. While \nyou should respect their request for confidentiality, explain that you may \nneed to share their information with Ethics & Compliance to ensure a \nproper review. Promptly report the concern to Ethics & Compliance and', 'What if the investigator or auditor is from the government? \nOur Company takes all requests for information by government officials seriously. If you \nlearn of a government request for information or a government investigation, promptly \ncontact your manager and the AMD Law Department.\nOur Global Code of Conduct  |  7\nRemember: To ensure our Company responds accurately and\nappropriately, do not answer questions or provide documents until the \nLaw Department instructs you to do so.\nQ\nYou receive a request from an Ethics & Compliance investigator to']","**Guidance on Reporting Concerns**

As per our Company's policies, if an employee requests confidentiality when reporting a concern:

*   The manager must listen carefully and thank the employee for speaking up.
*   Retaliation is strictly prohibited.
*   While respecting the request for confidentiality, the manager may need to share the information with Ethics & Compliance to ensure a proper review.

**Key Points:**

• **Confidentiality Request**: Employees have the right to request confidentiality when reporting concerns.
• **Manager's Responsibility**: Managers must listen carefully and thank employees for speaking up while ensuring that retaliation is strictly prohibited.
• **Sharing Information**: While respecting confidentiality requests, managers may need to share information with Ethics & Compliance for a proper review.","The manager should respect the request, but explain that the information may need to be shared with Ethics & Compliance to ensure a proper review, and then promptly report the concern.",1.0,
What is the policy regarding drug and alcohol abuse in the workplace?,"['while on Company-related business or operating any Company-owned or leased\nvehicle or equipment. It is inappropriate to even joke about workplace violence.\nImmediately notify Physical Security, a manager you trust and Human Resources if you \nbelieve there is a threat of violence.\nAvoiding drug and alcohol abuse in the workplace.\nWe have a zero-tolerance policy regarding drug and alcohol abuse on company property, \nat Company-related events and when conducting Company business. Illegal drugs are \nprohibited in all circumstances. In addition, never work while intoxicated or under the', 'prohibited in all circumstances. In addition, never work while intoxicated or under the \ninfluence of any drug or prescription medication that impairs your ability to perform \nyour job while in the workplace or while working. \nNothing in this section prohibits participating in authorized social gatherings at a site \nwhere alcohol is approved to be served or gift-giving as customary to specific locations. \nHealth and safety.\nWe are committed to providing a safe and healthy workplace. Familiarize yourself with \nthe Company’s Environmental, Health and Safety (EHS) policies, procedures and work', 'or other unsafe workplace condition, report it to a manager and to EHS. \n• \nSpeak up. Report suspected health and safety hazards to a manager and EHS.\nSafeguarding Our Workplace  |  10\nEnvironmental, Health and Safety (EHS) Policy\nWorkplace Violence Prevention Policy\nContent Navigation\nSafeguarding Our Workplace\nTreating each other with dignity and\nrespect\nRespecting property and resources\nProtecting our health and safety\nGuarding against cyberthreats\nOur Global Code of Conduct\nSafeguarding Our Image\nProtecting Intellectual Property\nand Personal Information\nConducting Our Business\nEthically']","**Policy Regarding Drug and Alcohol Abuse in the Workplace**

• **Zero-tolerance policy**: The Company has a zero-tolerance policy regarding drug and alcohol abuse on company property, at Company-related events, and when conducting Company business.
• **Prohibition of illegal drugs**: Illegal drugs are prohibited in all circumstances.
• **Working under the influence**: Never work while intoxicated or under the influence of any drug or prescription medication that impairs your ability to perform your job while in the workplace or while working.","The company has a zero-tolerance policy regarding drug and alcohol abuse on company property, at company-related events, and when conducting business.",0.5,
What protected characteristics are explicitly shielded from discrimination?,"['obligations under laws protecting the rights of the disabled.\nHarassment and discrimination.\nWe strictly prohibit unlawful discrimination or harassment on the basis of race, color, \nreligion, veteran status, national origin, ancestry, pregnancy status, sex, gender\nidentity or expression, age, marital status, mental or physical disability, medical\ncondition, sexual orientation or any other characteristics protected by law.\nWe also do not tolerate unlawful discrimination or harassment from our suppliers,\nvisitors, customers or any third party with whom we have a business, service or', 'laws and regulations on compensation, pay transparency and pay equity. We do not\ndiscriminate or retaliate against employees for discussing compensation, inquiring \nabout compensation or engaging in pay transparency-related activities allowed by law. \nSafeguarding Our Workplace  |  9\nPolicy Against Discrimination and Harassment\nSpeak Up Policy\nHelpful Resources\nAdvancing Corporate\nResponsibility\nAMD Global Code of Conduct', 'ensure your plan complies with our Open Source Policy.  \nUnderstand the settings of any software that you use. Some software publishes user \nresults publicly – never use such software to upload confidential information. If you are \nnot sure about a software’s default setting do not use it.\nCopyright protected content.\nDo not use or copy software, music, images, videos, publications or other copyright-\nprotected content at work or for business purposes unless you or the Company are\nlegally permitted. Copyrighted works can include newsletters, magazine articles,']","**Protected Characteristics:**

• **Race**
• **Color**
• **Religion**
• **Veteran status**
• **National origin**
• **Ancestry**
• **Pregnancy status**
• **Sex**
• **Gender identity or expression**
• **Age**
• **Marital status**
• **Mental or physical disability**
• **Medical condition**
• **Sexual orientation**

These characteristics are explicitly shielded from discrimination under the company's policies.","Protected characteristics include race, color, religion, veteran status, national origin, ancestry, pregnancy status, sex, gender identity or expression, age, marital status, mental or physical disability, medical condition, and sexual orientation.",,
Can employees be punished for discussing their compensation?,"['laws and regulations on compensation, pay transparency and pay equity. We do not\ndiscriminate or retaliate against employees for discussing compensation, inquiring \nabout compensation or engaging in pay transparency-related activities allowed by law. \nSafeguarding Our Workplace  |  9\nPolicy Against Discrimination and Harassment\nSpeak Up Policy\nHelpful Resources\nAdvancing Corporate\nResponsibility\nAMD Global Code of Conduct', 'believe a colleague may be misusing company resources. They are\nnervous about speaking up and ask you not to mention their name.\nA\nAs a manager, your first responsibility is to listen carefully and thank \nthe employee for speaking up. Reassure them that retaliation is strictly \nprohibited and that their concern will be handled appropriately. While \nyou should respect their request for confidentiality, explain that you may \nneed to share their information with Ethics & Compliance to ensure a \nproper review. Promptly report the concern to Ethics & Compliance and', 'to correct the situation and prevent it from happening again. Anyone who violates the \nCode, another Company policy or a government law or regulation is subject to potential \ndiscipline up to and including financial penalty or termination of employment or\ncontract.  \nFor more information see our Investigations page on Connect.\n \nWill I be punished for raising a concern?\n \nNo. Our Company will not tolerate retaliation against anyone for raising a concern about \nan actual or suspected violation or for participating in an investigation. We are']","**No**

* According to the provided Context, ""We do not discriminate or retaliate against employees for discussing compensation, inquiring about compensation or engaging in pay transparency-related activities allowed by law.""
* This statement explicitly states that discussing compensation is protected under company policy and applicable laws.","No, the company does not discriminate or retaliate against employees for discussing or inquiring about compensation as allowed by law.",1.0,
